cell-image-link href,image,name
https://www.levi.com/US/en_US/clothing/men/jeans/slim/511-slim-fit-mens-jeans/p/045115835,"https://lsco.scene7.com/is/image/lsco/045115835-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",511™ SLIM FIT MEN'S JEANS
https://www.levi.com/US/en_US/jeans-by-fit-number/men/jeans/512/512-slim-taper-levis-flex-mens-jeans/p/288330848,"https://lsco.scene7.com/is/image/lsco/288330848-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",512™ SLIM TAPER LEVI'S® FLEX MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/501-original-fit-selvedge-mens-jeans/p/005013659,"https://lsco.scene7.com/is/image/lsco/005013659-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",501® ORIGINAL FIT SELVEDGE MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/541-athletic-taper-mens-jeans/p/181810636,"https://lsco.scene7.com/is/image/lsco/181810636-back-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",541™ ATHLETIC TAPER MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/505-regular-fit-selvedge-mens-jeans/p/005052976,"https://lsco.scene7.com/is/image/lsco/005052976-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",505™ REGULAR FIT SELVEDGE MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/loose/568-loose-straight-mens-jeans/p/290370061,"https://lsco.scene7.com/is/image/lsco/290370061-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",568™ LOOSE STRAIGHT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/502-taper-fit-authentic-soft-mens-jeans/p/295071460,"https://lsco.scene7.com/is/image/lsco/295071460-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",502™ TAPER FIT AUTHENTIC SOFT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/514-straight-fit-mens-jeans/p/005141818,"https://lsco.scene7.com/is/image/lsco/005141818-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",514™ STRAIGHT FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/straight/501-original-fit-mens-jeans/p/005011484,"https://lsco.scene7.com/is/image/lsco/005011484-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",501® ORIGINAL FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/slim/511-slim-fit-linen-denim-mens-jeans/p/045116137,"https://lsco.scene7.com/is/image/lsco/045116137-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",511™ SLIM FIT LINEN+ DENIM MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/relaxed/555-relaxed-straight-mens-jeans/p/000LO0005,"https://lsco.scene7.com/is/image/lsco/000LO0005-detail1-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",555™ RELAXED STRAIGHT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/taper/541-athletic-taper-fit-mens-jeans/p/181810818,"https://lsco.scene7.com/is/image/lsco/181810818-side-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",541™ ATHLETIC TAPER FIT MEN'S JEANS
https://www.levi.com/US/en_US/clothing/men/jeans/slim/513-slim-straight-levis-flex-mens-jeans/p/085130934,"https://lsco.scene7.com/is/image/lsco/085130934-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=155&hei=155",513™ SLIM STRAIGHT LEVI'S® FLEX MEN'S JEANS
