Month,Popularity
2004-01,6
2004-02,7
2004-03,5
2004-04,10
2004-05,5
2004-06,0
2004-07,6
2004-08,7
2004-09,7
2004-10,10
2004-11,8
2004-12,9
2005-01,10
2005-02,10
2005-03,8
2005-04,10
2005-05,8
2005-06,9
2005-07,10
2005-08,8
2005-09,8
2005-10,12
2005-11,10
2005-12,12
2006-01,10
2006-02,10
2006-03,10
2006-04,9
2006-05,9
2006-06,5
2006-07,7
2006-08,9
2006-09,10
2006-10,10
2006-11,12
2006-12,13
2007-01,13
2007-02,11
2007-03,10
2007-04,10
2007-05,10
2007-06,8
2007-07,9
2007-08,12
2007-09,12
2007-10,12
2007-11,15
2007-12,14
2008-01,16
2008-02,13
2008-03,14
2008-04,12
2008-05,11
2008-06,10
2008-07,13
2008-08,12
2008-09,12
2008-10,14
2008-11,18
2008-12,20
2009-01,15
2009-02,16
2009-03,15
2009-04,17
2009-05,13
2009-06,13
2009-07,12
2009-08,14
2009-09,16
2009-10,19
2009-11,18
2009-12,19
2010-01,19
2010-02,16
2010-03,17
2010-04,14
2010-05,14
2010-06,12
2010-07,13
2010-08,17
2010-09,16
2010-10,19
2010-11,21
2010-12,24
2011-01,23
2011-02,24
2011-03,21
2011-04,19
2011-05,17
2011-06,14
2011-07,15
2011-08,19
2011-09,22
2011-10,23
2011-11,26
2011-12,29
2012-01,25
2012-02,24
2012-03,21
2012-04,19
2012-05,17
2012-06,16
2012-07,17
2012-08,24
2012-09,27
2012-10,30
2012-11,32
2012-12,33
2013-01,27
2013-02,29
2013-03,28
2013-04,25
2013-05,21
2013-06,17
2013-07,18
2013-08,26
2013-09,27
2013-10,30
2013-11,34
2013-12,36
2014-01,28
2014-02,28
2014-03,28
2014-04,25
2014-05,20
2014-06,17
2014-07,18
2014-08,24
2014-09,27
2014-10,30
2014-11,34
2014-12,34
2015-01,29
2015-02,26
2015-03,27
2015-04,23
2015-05,21
2015-06,18
2015-07,21
2015-08,27
2015-09,29
2015-10,32
2015-11,33
2015-12,33
2016-01,34
2016-02,35
2016-03,30
2016-04,29
2016-05,27
2016-06,19
2016-07,24
2016-08,28
2016-09,33
2016-10,38
2016-11,39
2016-12,38
2017-01,35
2017-02,35
2017-03,33
2017-04,32
2017-05,30
2017-06,28
2017-07,31
2017-08,35
2017-09,36
2017-10,42
2017-11,50
2017-12,44
2018-01,38
2018-02,39
2018-03,38
2018-04,39
2018-05,31
2018-06,29
2018-07,38
2018-08,37
2018-09,40
2018-10,47
2018-11,47
2018-12,47
2019-01,40
2019-02,40
2019-03,44
2019-04,37
2019-05,33
2019-06,31
2019-07,32
2019-08,38
2019-09,40
2019-10,53
2019-11,54
2019-12,55
2020-01,51
2020-02,50
2020-03,33
2020-04,32
2020-05,33
2020-06,34
2020-07,35
2020-08,41
2020-09,47
2020-10,56
2020-11,54
2020-12,59
2021-01,56
2021-02,60
2021-03,58
2021-04,54
2021-05,48
2021-06,40
2021-07,48
2021-08,58
2021-09,65
2021-10,79
2021-11,87
2021-12,83
2022-01,72
2022-02,70
2022-03,64
2022-04,56
2022-05,48
2022-06,42
2022-07,47
2022-08,58
2022-09,65
2022-10,77
2022-11,82
2022-12,81
2023-01,69
2023-02,72
2023-03,68
2023-04,57
2023-05,49
2023-06,49
2023-07,53
2023-08,57
2023-09,65
2023-10,74
2023-11,91
2023-12,82
2024-01,74
2024-02,74
2024-03,68
2024-04,55
2024-05,47
2024-06,42
2024-07,51
2024-08,68
2024-09,76
2024-10,84
2024-11,97
2024-12,100
2025-01,81
2025-02,86
2025-03,77
2025-04,73
