Month,Popularity
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,8
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,4
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,4
2006-04,0
2006-05,0
2006-06,0
2006-07,3
2006-08,7
2006-09,0
2006-10,3
2006-11,3
2006-12,5
2007-01,4
2007-02,4
2007-03,8
2007-04,3
2007-05,4
2007-06,4
2007-07,6
2007-08,8
2007-09,7
2007-10,7
2007-11,5
2007-12,10
2008-01,4
2008-02,4
2008-03,4
2008-04,4
2008-05,4
2008-06,4
2008-07,8
2008-08,18
2008-09,22
2008-10,22
2008-11,17
2008-12,18
2009-01,19
2009-02,31
2009-03,34
2009-04,34
2009-05,28
2009-06,26
2009-07,36
2009-08,48
2009-09,39
2009-10,52
2009-11,32
2009-12,29
2010-01,44
2010-02,31
2010-03,36
2010-04,31
2010-05,25
2010-06,22
2010-07,24
2010-08,28
2010-09,27
2010-10,22
2010-11,23
2010-12,18
2011-01,21
2011-02,25
2011-03,26
2011-04,23
2011-05,21
2011-06,28
2011-07,19
2011-08,24
2011-09,25
2011-10,23
2011-11,21
2011-12,22
2012-01,26
2012-02,27
2012-03,29
2012-04,28
2012-05,25
2012-06,24
2012-07,26
2012-08,33
2012-09,33
2012-10,26
2012-11,25
2012-12,22
2013-01,24
2013-02,33
2013-03,39
2013-04,41
2013-05,35
2013-06,34
2013-07,38
2013-08,47
2013-09,51
2013-10,47
2013-11,41
2013-12,39
2014-01,46
2014-02,56
2014-03,75
2014-04,78
2014-05,65
2014-06,59
2014-07,71
2014-08,83
2014-09,80
2014-10,71
2014-11,63
2014-12,60
2015-01,64
2015-02,90
2015-03,87
2015-04,80
2015-05,73
2015-06,66
2015-07,80
2015-08,100
2015-09,86
2015-10,74
2015-11,65
2015-12,60
2016-01,70
2016-02,74
2016-03,86
2016-04,75
2016-05,72
2016-06,68
2016-07,76
2016-08,82
2016-09,78
2016-10,80
2016-11,74
2016-12,63
2017-01,64
2017-02,71
2017-03,72
2017-04,75
2017-05,66
2017-06,65
2017-07,71
2017-08,83
2017-09,83
2017-10,74
2017-11,75
2017-12,59
2018-01,63
2018-02,72
2018-03,68
2018-04,69
2018-05,61
2018-06,58
2018-07,68
2018-08,70
2018-09,64
2018-10,62
2018-11,58
2018-12,56
2019-01,53
2019-02,55
2019-03,63
2019-04,68
2019-05,53
2019-06,54
2019-07,56
2019-08,69
2019-09,60
2019-10,55
2019-11,52
2019-12,52
2020-01,52
2020-02,57
2020-03,46
2020-04,49
2020-05,57
2020-06,54
2020-07,62
2020-08,66
2020-09,69
2020-10,68
2020-11,62
2020-12,64
2021-01,69
2021-02,75
2021-03,81
2021-04,83
2021-05,66
2021-06,61
2021-07,65
2021-08,71
2021-09,72
2021-10,66
2021-11,66
2021-12,65
2022-01,59
2022-02,62
2022-03,55
2022-04,54
2022-05,49
2022-06,41
2022-07,49
2022-08,54
2022-09,56
2022-10,56
2022-11,51
2022-12,46
2023-01,52
2023-02,50
2023-03,49
2023-04,44
2023-05,42
2023-06,39
2023-07,40
2023-08,44
2023-09,47
2023-10,46
2023-11,48
2023-12,40
2024-01,38
2024-02,41
2024-03,42
2024-04,37
2024-05,34
2024-06,29
2024-07,32
2024-08,38
2024-09,39
2024-10,39
2024-11,41
2024-12,38
2025-01,32
2025-02,33
2025-03,35
2025-04,33
