Month,Popularity
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,8
2005-02,15
2005-03,0
2005-04,9
2005-05,0
2005-06,10
2005-07,14
2005-08,16
2005-09,10
2005-10,15
2005-11,12
2005-12,14
2006-01,12
2006-02,9
2006-03,5
2006-04,8
2006-05,7
2006-06,6
2006-07,8
2006-08,10
2006-09,6
2006-10,9
2006-11,8
2006-12,0
2007-01,5
2007-02,4
2007-03,6
2007-04,0
2007-05,0
2007-06,5
2007-07,0
2007-08,5
2007-09,7
2007-10,4
2007-11,5
2007-12,5
2008-01,7
2008-02,7
2008-03,6
2008-04,6
2008-05,5
2008-06,6
2008-07,6
2008-08,9
2008-09,8
2008-10,10
2008-11,6
2008-12,6
2009-01,9
2009-02,10
2009-03,14
2009-04,15
2009-05,13
2009-06,15
2009-07,16
2009-08,20
2009-09,17
2009-10,11
2009-11,13
2009-12,16
2010-01,15
2010-02,15
2010-03,13
2010-04,14
2010-05,11
2010-06,9
2010-07,11
2010-08,12
2010-09,8
2010-10,9
2010-11,10
2010-12,11
2011-01,11
2011-02,12
2011-03,13
2011-04,11
2011-05,10
2011-06,11
2011-07,12
2011-08,13
2011-09,12
2011-10,12
2011-11,12
2011-12,11
2012-01,12
2012-02,16
2012-03,16
2012-04,14
2012-05,15
2012-06,17
2012-07,18
2012-08,20
2012-09,19
2012-10,16
2012-11,14
2012-12,15
2013-01,15
2013-02,16
2013-03,19
2013-04,21
2013-05,20
2013-06,24
2013-07,23
2013-08,25
2013-09,23
2013-10,20
2013-11,19
2013-12,20
2014-01,23
2014-02,28
2014-03,32
2014-04,31
2014-05,31
2014-06,33
2014-07,35
2014-08,35
2014-09,32
2014-10,34
2014-11,31
2014-12,33
2015-01,33
2015-02,43
2015-03,46
2015-04,46
2015-05,47
2015-06,46
2015-07,48
2015-08,56
2015-09,57
2015-10,53
2015-11,50
2015-12,45
2016-01,52
2016-02,69
2016-03,75
2016-04,83
2016-05,77
2016-06,75
2016-07,80
2016-08,86
2016-09,91
2016-10,99
2016-11,90
2016-12,80
2017-01,83
2017-02,93
2017-03,92
2017-04,97
2017-05,87
2017-06,88
2017-07,92
2017-08,100
2017-09,91
2017-10,100
2017-11,87
2017-12,81
2018-01,79
2018-02,80
2018-03,91
2018-04,86
2018-05,81
2018-06,75
2018-07,81
2018-08,85
2018-09,82
2018-10,75
2018-11,70
2018-12,70
2019-01,69
2019-02,73
2019-03,94
2019-04,83
2019-05,70
2019-06,66
2019-07,71
2019-08,83
2019-09,81
2019-10,89
2019-11,75
2019-12,78
2020-01,73
2020-02,79
2020-03,61
2020-04,65
2020-05,76
2020-06,79
2020-07,78
2020-08,75
2020-09,77
2020-10,94
2020-11,71
2020-12,67
2021-01,67
2021-02,67
2021-03,88
2021-04,82
2021-05,72
2021-06,60
2021-07,68
2021-08,85
2021-09,78
2021-10,75
2021-11,70
2021-12,66
2022-01,54
2022-02,62
2022-03,68
2022-04,59
2022-05,51
2022-06,43
2022-07,51
2022-08,58
2022-09,54
2022-10,54
2022-11,54
2022-12,50
2023-01,48
2023-02,55
2023-03,53
2023-04,51
2023-05,48
2023-06,48
2023-07,52
2023-08,56
2023-09,53
2023-10,51
2023-11,55
2023-12,47
2024-01,43
2024-02,49
2024-03,50
2024-04,49
2024-05,46
2024-06,42
2024-07,45
2024-08,50
2024-09,52
2024-10,48
2024-11,49
2024-12,42
2025-01,39
2025-02,41
2025-03,46
2025-04,46
