Month,Popularity
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,43
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,23
2006-10,0
2006-11,0
2006-12,0
2007-01,27
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,16
2007-10,0
2007-11,14
2007-12,23
2008-01,0
2008-02,0
2008-03,20
2008-04,23
2008-05,0
2008-06,0
2008-07,15
2008-08,20
2008-09,23
2008-10,20
2008-11,18
2008-12,26
2009-01,25
2009-02,0
2009-03,12
2009-04,19
2009-05,12
2009-06,0
2009-07,14
2009-08,18
2009-09,12
2009-10,10
2009-11,26
2009-12,16
2010-01,32
2010-02,14
2010-03,0
2010-04,12
2010-05,13
2010-06,14
2010-07,0
2010-08,13
2010-09,14
2010-10,13
2010-11,14
2010-12,14
2011-01,14
2011-02,28
2011-03,26
2011-04,19
2011-05,17
2011-06,10
2011-07,16
2011-08,17
2011-09,19
2011-10,16
2011-11,15
2011-12,16
2012-01,15
2012-02,15
2012-03,16
2012-04,16
2012-05,15
2012-06,14
2012-07,10
2012-08,14
2012-09,14
2012-10,10
2012-11,12
2012-12,13
2013-01,18
2013-02,11
2013-03,18
2013-04,14
2013-05,11
2013-06,10
2013-07,6
2013-08,8
2013-09,16
2013-10,12
2013-11,11
2013-12,14
2014-01,15
2014-02,15
2014-03,13
2014-04,10
2014-05,12
2014-06,13
2014-07,12
2014-08,14
2014-09,14
2014-10,15
2014-11,10
2014-12,8
2015-01,14
2015-02,11
2015-03,14
2015-04,16
2015-05,12
2015-06,11
2015-07,12
2015-08,26
2015-09,24
2015-10,21
2015-11,19
2015-12,13
2016-01,18
2016-02,23
2016-03,23
2016-04,20
2016-05,20
2016-06,16
2016-07,18
2016-08,13
2016-09,23
2016-10,22
2016-11,16
2016-12,13
2017-01,18
2017-02,22
2017-03,21
2017-04,19
2017-05,21
2017-06,17
2017-07,21
2017-08,22
2017-09,23
2017-10,22
2017-11,21
2017-12,20
2018-01,20
2018-02,22
2018-03,24
2018-04,24
2018-05,24
2018-06,24
2018-07,25
2018-08,22
2018-09,31
2018-10,24
2018-11,21
2018-12,23
2019-01,23
2019-02,25
2019-03,28
2019-04,24
2019-05,23
2019-06,21
2019-07,22
2019-08,29
2019-09,31
2019-10,34
2019-11,28
2019-12,32
2020-01,29
2020-02,31
2020-03,27
2020-04,22
2020-05,24
2020-06,25
2020-07,23
2020-08,23
2020-09,32
2020-10,33
2020-11,28
2020-12,28
2021-01,27
2021-02,35
2021-03,38
2021-04,40
2021-05,40
2021-06,32
2021-07,35
2021-08,47
2021-09,45
2021-10,52
2021-11,54
2021-12,51
2022-01,58
2022-02,66
2022-03,58
2022-04,55
2022-05,44
2022-06,39
2022-07,48
2022-08,63
2022-09,61
2022-10,66
2022-11,70
2022-12,65
2023-01,70
2023-02,73
2023-03,81
2023-04,66
2023-05,63
2023-06,60
2023-07,65
2023-08,75
2023-09,79
2023-10,87
2023-11,97
2023-12,90
2024-01,81
2024-02,94
2024-03,94
2024-04,83
2024-05,71
2024-06,63
2024-07,64
2024-08,85
2024-09,91
2024-10,90
2024-11,96
2024-12,97
2025-01,93
2025-02,100
2025-03,92
2025-04,79
