Month,Popularity
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,5
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,3
2014-01,0
2014-02,0
2014-03,5
2014-04,0
2014-05,0
2014-06,0
2014-07,5
2014-08,0
2014-09,5
2014-10,4
2014-11,5
2014-12,6
2015-01,0
2015-02,5
2015-03,4
2015-04,0
2015-05,0
2015-06,7
2015-07,5
2015-08,6
2015-09,6
2015-10,5
2015-11,7
2015-12,5
2016-01,8
2016-02,6
2016-03,4
2016-04,5
2016-05,3
2016-06,8
2016-07,5
2016-08,5
2016-09,6
2016-10,12
2016-11,12
2016-12,11
2017-01,11
2017-02,13
2017-03,16
2017-04,11
2017-05,12
2017-06,10
2017-07,11
2017-08,12
2017-09,12
2017-10,14
2017-11,18
2017-12,17
2018-01,16
2018-02,19
2018-03,19
2018-04,18
2018-05,20
2018-06,19
2018-07,15
2018-08,18
2018-09,22
2018-10,25
2018-11,27
2018-12,24
2019-01,29
2019-02,26
2019-03,27
2019-04,24
2019-05,20
2019-06,23
2019-07,22
2019-08,25
2019-09,27
2019-10,29
2019-11,35
2019-12,34
2020-01,31
2020-02,31
2020-03,25
2020-04,29
2020-05,32
2020-06,27
2020-07,33
2020-08,32
2020-09,34
2020-10,35
2020-11,33
2020-12,33
2021-01,34
2021-02,37
2021-03,33
2021-04,34
2021-05,33
2021-06,31
2021-07,30
2021-08,37
2021-09,48
2021-10,39
2021-11,51
2021-12,49
2022-01,53
2022-02,53
2022-03,46
2022-04,47
2022-05,44
2022-06,33
2022-07,40
2022-08,43
2022-09,48
2022-10,56
2022-11,57
2022-12,58
2023-01,55
2023-02,56
2023-03,51
2023-04,48
2023-05,41
2023-06,44
2023-07,37
2023-08,45
2023-09,51
2023-10,61
2023-11,69
2023-12,61
2024-01,67
2024-02,67
2024-03,67
2024-04,57
2024-05,54
2024-06,46
2024-07,53
2024-08,67
2024-09,81
2024-10,76
2024-11,100
2024-12,83
2025-01,79
2025-02,82
2025-03,82
2025-04,65
