Month,Popularity
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,100
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,57
2006-02,59
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,53
2006-09,0
2006-10,57
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,36
2007-09,0
2007-10,0
2007-11,0
2007-12,32
2008-01,0
2008-02,0
2008-03,0
2008-04,44
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,33
2009-01,21
2009-02,28
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,14
2011-02,0
2011-03,12
2011-04,0
2011-05,0
2011-06,0
2011-07,14
2011-08,0
2011-09,0
2011-10,11
2011-11,17
2011-12,14
2012-01,11
2012-02,10
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,11
2012-09,10
2012-10,0
2012-11,10
2012-12,10
2013-01,9
2013-02,9
2013-03,9
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,8
2013-10,0
2013-11,0
2013-12,8
2014-01,9
2014-02,0
2014-03,9
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,7
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,10
2016-03,0
2016-04,6
2016-05,0
2016-06,9
2016-07,0
2016-08,0
2016-09,7
2016-10,0
2016-11,0
2016-12,6
2017-01,6
2017-02,10
2017-03,7
2017-04,0
2017-05,9
2017-06,0
2017-07,0
2017-08,9
2017-09,9
2017-10,6
2017-11,13
2017-12,9
2018-01,6
2018-02,0
2018-03,8
2018-04,7
2018-05,9
2018-06,6
2018-07,7
2018-08,10
2018-09,6
2018-10,8
2018-11,11
2018-12,10
2019-01,8
2019-02,7
2019-03,10
2019-04,7
2019-05,0
2019-06,0
2019-07,6
2019-08,0
2019-09,6
2019-10,9
2019-11,6
2019-12,7
2020-01,7
2020-02,9
2020-03,7
2020-04,7
2020-05,10
2020-06,8
2020-07,7
2020-08,6
2020-09,6
2020-10,7
2020-11,10
2020-12,11
2021-01,0
2021-02,13
2021-03,7
2021-04,10
2021-05,10
2021-06,11
2021-07,11
2021-08,8
2021-09,11
2021-10,11
2021-11,15
2021-12,15
2022-01,15
2022-02,14
2022-03,12
2022-04,19
2022-05,14
2022-06,12
2022-07,14
2022-08,19
2022-09,26
2022-10,24
2022-11,21
2022-12,18
2023-01,16
2023-02,18
2023-03,19
2023-04,19
2023-05,13
2023-06,20
2023-07,14
2023-08,28
2023-09,18
2023-10,19
2023-11,28
2023-12,33
2024-01,28
2024-02,21
2024-03,28
2024-04,23
2024-05,20
2024-06,16
2024-07,47
2024-08,35
2024-09,44
2024-10,39
2024-11,51
2024-12,57
2025-01,49
2025-02,41
2025-03,43
2025-04,38
