Month,Popularity
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,6
2004-06,5
2004-07,5
2004-08,5
2004-09,6
2004-10,4
2004-11,4
2004-12,4
2005-01,3
2005-02,6
2005-03,5
2005-04,6
2005-05,6
2005-06,5
2005-07,8
2005-08,7
2005-09,5
2005-10,7
2005-11,8
2005-12,8
2006-01,7
2006-02,5
2006-03,5
2006-04,8
2006-05,5
2006-06,9
2006-07,6
2006-08,9
2006-09,7
2006-10,7
2006-11,6
2006-12,5
2007-01,5
2007-02,6
2007-03,6
2007-04,5
2007-05,7
2007-06,6
2007-07,8
2007-08,9
2007-09,8
2007-10,6
2007-11,7
2007-12,8
2008-01,7
2008-02,8
2008-03,8
2008-04,8
2008-05,8
2008-06,6
2008-07,7
2008-08,7
2008-09,7
2008-10,7
2008-11,7
2008-12,9
2009-01,7
2009-02,8
2009-03,10
2009-04,10
2009-05,12
2009-06,11
2009-07,12
2009-08,13
2009-09,11
2009-10,11
2009-11,11
2009-12,11
2010-01,10
2010-02,13
2010-03,11
2010-04,10
2010-05,10
2010-06,9
2010-07,9
2010-08,10
2010-09,9
2010-10,8
2010-11,9
2010-12,9
2011-01,10
2011-02,11
2011-03,12
2011-04,12
2011-05,10
2011-06,10
2011-07,11
2011-08,12
2011-09,12
2011-10,13
2011-11,12
2011-12,12
2012-01,13
2012-02,14
2012-03,14
2012-04,15
2012-05,14
2012-06,17
2012-07,18
2012-08,18
2012-09,17
2012-10,16
2012-11,16
2012-12,16
2013-01,15
2013-02,16
2013-03,18
2013-04,17
2013-05,16
2013-06,16
2013-07,17
2013-08,19
2013-09,16
2013-10,18
2013-11,18
2013-12,17
2014-01,19
2014-02,21
2014-03,23
2014-04,24
2014-05,24
2014-06,24
2014-07,26
2014-08,29
2014-09,28
2014-10,28
2014-11,28
2014-12,29
2015-01,29
2015-02,32
2015-03,36
2015-04,36
2015-05,37
2015-06,43
2015-07,51
2015-08,55
2015-09,54
2015-10,50
2015-11,50
2015-12,50
2016-01,50
2016-02,63
2016-03,71
2016-04,71
2016-05,71
2016-06,67
2016-07,77
2016-08,75
2016-09,82
2016-10,82
2016-11,85
2016-12,83
2017-01,77
2017-02,86
2017-03,84
2017-04,84
2017-05,82
2017-06,79
2017-07,81
2017-08,95
2017-09,86
2017-10,94
2017-11,94
2017-12,94
2018-01,80
2018-02,86
2018-03,88
2018-04,83
2018-05,86
2018-06,76
2018-07,90
2018-08,90
2018-09,82
2018-10,81
2018-11,85
2018-12,86
2019-01,78
2019-02,75
2019-03,90
2019-04,83
2019-05,78
2019-06,71
2019-07,81
2019-08,92
2019-09,85
2019-10,85
2019-11,95
2019-12,100
2020-01,91
2020-02,89
2020-03,81
2020-04,77
2020-05,88
2020-06,82
2020-07,90
2020-08,89
2020-09,90
2020-10,86
2020-11,92
2020-12,93
2021-01,84
2021-02,76
2021-03,85
2021-04,85
2021-05,80
2021-06,68
2021-07,79
2021-08,93
2021-09,87
2021-10,89
2021-11,97
2021-12,87
2022-01,71
2022-02,77
2022-03,73
2022-04,69
2022-05,62
2022-06,55
2022-07,62
2022-08,82
2022-09,78
2022-10,64
2022-11,67
2022-12,66
2023-01,58
2023-02,59
2023-03,59
2023-04,53
2023-05,52
2023-06,45
2023-07,52
2023-08,60
2023-09,48
2023-10,49
2023-11,55
2023-12,56
2024-01,40
2024-02,44
2024-03,46
2024-04,42
2024-05,37
2024-06,37
2024-07,41
2024-08,46
2024-09,42
2024-10,39
2024-11,42
2024-12,40
2025-01,37
2025-02,37
2025-03,41
2025-04,41
