Month,Popularity
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,2
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,1
2005-02,1
2005-03,1
2005-04,0
2005-05,1
2005-06,0
2005-07,1
2005-08,2
2005-09,4
2005-10,5
2005-11,8
2005-12,8
2006-01,9
2006-02,7
2006-03,8
2006-04,11
2006-05,11
2006-06,10
2006-07,17
2006-08,25
2006-09,26
2006-10,26
2006-11,24
2006-12,23
2007-01,18
2007-02,18
2007-03,18
2007-04,16
2007-05,16
2007-06,17
2007-07,22
2007-08,29
2007-09,28
2007-10,31
2007-11,38
2007-12,46
2008-01,41
2008-02,39
2008-03,39
2008-04,35
2008-05,35
2008-06,34
2008-07,46
2008-08,59
2008-09,57
2008-10,62
2008-11,66
2008-12,69
2009-01,60
2009-02,57
2009-03,55
2009-04,54
2009-05,56
2009-06,61
2009-07,74
2009-08,95
2009-09,84
2009-10,92
2009-11,86
2009-12,100
2010-01,70
2010-02,74
2010-03,66
2010-04,61
2010-05,58
2010-06,54
2010-07,53
2010-08,66
2010-09,55
2010-10,58
2010-11,59
2010-12,66
2011-01,64
2011-02,62
2011-03,58
2011-04,48
2011-05,46
2011-06,45
2011-07,55
2011-08,69
2011-09,67
2011-10,76
2011-11,77
2011-12,93
2012-01,77
2012-02,78
2012-03,78
2012-04,74
2012-05,66
2012-06,66
2012-07,80
2012-08,100
2012-09,94
2012-10,92
2012-11,93
2012-12,98
2013-01,82
2013-02,76
2013-03,91
2013-04,67
2013-05,59
2013-06,49
2013-07,58
2013-08,80
2013-09,71
2013-10,79
2013-11,81
2013-12,80
2014-01,65
2014-02,64
2014-03,60
2014-04,58
2014-05,49
2014-06,41
2014-07,51
2014-08,63
2014-09,64
2014-10,67
2014-11,74
2014-12,72
2015-01,61
2015-02,57
2015-03,55
2015-04,51
2015-05,46
2015-06,50
2015-07,49
2015-08,67
2015-09,61
2015-10,71
2015-11,70
2015-12,68
2016-01,69
2016-02,68
2016-03,64
2016-04,63
2016-05,60
2016-06,47
2016-07,54
2016-08,63
2016-09,85
2016-10,88
2016-11,83
2016-12,77
2017-01,71
2017-02,65
2017-03,66
2017-04,63
2017-05,56
2017-06,51
2017-07,60
2017-08,65
2017-09,69
2017-10,76
2017-11,84
2017-12,78
2018-01,64
2018-02,65
2018-03,67
2018-04,61
2018-05,56
2018-06,59
2018-07,60
2018-08,69
2018-09,67
2018-10,66
2018-11,75
2018-12,69
2019-01,63
2019-02,59
2019-03,61
2019-04,58
2019-05,53
2019-06,48
2019-07,51
2019-08,58
2019-09,57
2019-10,68
2019-11,71
2019-12,76
2020-01,64
2020-02,63
2020-03,47
2020-04,40
2020-05,46
2020-06,44
2020-07,51
2020-08,54
2020-09,55
2020-10,64
2020-11,63
2020-12,63
2021-01,59
2021-02,84
2021-03,67
2021-04,73
2021-05,56
2021-06,43
2021-07,52
2021-08,57
2021-09,60
2021-10,67
2021-11,72
2021-12,67
2022-01,59
2022-02,57
2022-03,53
2022-04,48
2022-05,42
2022-06,36
2022-07,43
2022-08,48
2022-09,49
2022-10,55
2022-11,56
2022-12,56
2023-01,49
2023-02,49
2023-03,47
2023-04,42
2023-05,37
2023-06,36
2023-07,40
2023-08,39
2023-09,43
2023-10,48
2023-11,51
2023-12,48
2024-01,43
2024-02,40
2024-03,42
2024-04,36
2024-05,32
2024-06,29
2024-07,33
2024-08,40
2024-09,43
2024-10,44
2024-11,46
2024-12,48
2025-01,46
2025-02,46
2025-03,40
2025-04,38
