Month,Popularity
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,6
2004-07,0
2004-08,0
2004-09,5
2004-10,4
2004-11,0
2004-12,5
2005-01,5
2005-02,3
2005-03,3
2005-04,5
2005-05,3
2005-06,0
2005-07,5
2005-08,4
2005-09,5
2005-10,7
2005-11,6
2005-12,11
2006-01,8
2006-02,5
2006-03,5
2006-04,7
2006-05,4
2006-06,5
2006-07,6
2006-08,8
2006-09,8
2006-10,9
2006-11,8
2006-12,9
2007-01,9
2007-02,8
2007-03,8
2007-04,7
2007-05,6
2007-06,5
2007-07,6
2007-08,7
2007-09,9
2007-10,9
2007-11,9
2007-12,11
2008-01,11
2008-02,9
2008-03,9
2008-04,8
2008-05,9
2008-06,6
2008-07,8
2008-08,10
2008-09,10
2008-10,11
2008-11,13
2008-12,13
2009-01,11
2009-02,11
2009-03,11
2009-04,9
2009-05,10
2009-06,10
2009-07,9
2009-08,12
2009-09,11
2009-10,14
2009-11,16
2009-12,17
2010-01,13
2010-02,13
2010-03,13
2010-04,11
2010-05,11
2010-06,8
2010-07,12
2010-08,13
2010-09,14
2010-10,16
2010-11,16
2010-12,16
2011-01,14
2011-02,14
2011-03,13
2011-04,14
2011-05,11
2011-06,11
2011-07,11
2011-08,13
2011-09,15
2011-10,16
2011-11,18
2011-12,21
2012-01,17
2012-02,17
2012-03,16
2012-04,13
2012-05,11
2012-06,11
2012-07,13
2012-08,17
2012-09,17
2012-10,19
2012-11,20
2012-12,23
2013-01,17
2013-02,17
2013-03,17
2013-04,15
2013-05,12
2013-06,11
2013-07,11
2013-08,16
2013-09,16
2013-10,18
2013-11,20
2013-12,22
2014-01,18
2014-02,16
2014-03,16
2014-04,15
2014-05,12
2014-06,10
2014-07,13
2014-08,15
2014-09,16
2014-10,18
2014-11,20
2014-12,22
2015-01,18
2015-02,15
2015-03,15
2015-04,15
2015-05,13
2015-06,11
2015-07,11
2015-08,17
2015-09,17
2015-10,20
2015-11,21
2015-12,22
2016-01,22
2016-02,21
2016-03,21
2016-04,20
2016-05,17
2016-06,14
2016-07,15
2016-08,17
2016-09,21
2016-10,26
2016-11,29
2016-12,32
2017-01,25
2017-02,24
2017-03,23
2017-04,27
2017-05,20
2017-06,19
2017-07,20
2017-08,22
2017-09,27
2017-10,28
2017-11,34
2017-12,35
2018-01,26
2018-02,28
2018-03,27
2018-04,26
2018-05,22
2018-06,20
2018-07,22
2018-08,25
2018-09,26
2018-10,31
2018-11,35
2018-12,33
2019-01,31
2019-02,29
2019-03,28
2019-04,27
2019-05,25
2019-06,23
2019-07,23
2019-08,27
2019-09,30
2019-10,35
2019-11,36
2019-12,38
2020-01,34
2020-02,31
2020-03,24
2020-04,25
2020-05,29
2020-06,27
2020-07,31
2020-08,33
2020-09,38
2020-10,48
2020-11,52
2020-12,63
2021-01,54
2021-02,61
2021-03,65
2021-04,62
2021-05,54
2021-06,39
2021-07,42
2021-08,62
2021-09,64
2021-10,72
2021-11,86
2021-12,73
2022-01,73
2022-02,79
2022-03,73
2022-04,67
2022-05,52
2022-06,41
2022-07,53
2022-08,65
2022-09,68
2022-10,79
2022-11,86
2022-12,83
2023-01,76
2023-02,75
2023-03,72
2023-04,62
2023-05,57
2023-06,51
2023-07,55
2023-08,66
2023-09,73
2023-10,84
2023-11,99
2023-12,88
2024-01,81
2024-02,81
2024-03,78
2024-04,65
2024-05,55
2024-06,48
2024-07,57
2024-08,73
2024-09,86
2024-10,88
2024-11,100
2024-12,95
2025-01,87
2025-02,85
2025-03,84
2025-04,77
